my_colors,Symbio.clade
#3DF9A3,A1fi
#AAC3EA,A1
#5CFCE0,A1ab
#E4D9F9,A1dl
#56BBC1,X1392361_A
#B884EF,X1392372_A
#C7FAFA,X32746_A
#F85AD2,X55778_A
#6FBABE,X1042_A
#F41CD6,X1362682_A
#27E3B8,X759005_A
#DFB1B4,A1dt
#D970D9,X1392373_A
#C9B7C2,X1392374_A
#9C1ABB,X1392363_A
#63C8C1,X149403_A
#F69B68,X5706_A
#7ADA9C,X1392362_A
#EC6DAD,X1392392_A
#B457EE,X1392391_A
#6BAE9D,X1392375_A
#EBF5FB,A7
#8FA2C8,X140708_A
#C7DDFC,X1392390_A
#E0DFAE,X74034_A
#369AA1,X30814_A
#2AB4A7,X1392364_A
#B9E8B2,X1392394_A
#68AD8E,A5
#DC7EB1,A1bf
#FBD5FE,X1392393_A
#AB48A8,A1bw
#7391B8,A4
#9DD04D,X1392395_A
#E4A8A8,X1392399_A
#9FE9FA,A4.3
#394EC7,X1392400_A
#6BF89B,X6984_A
#CC65F0,X1392396_A
#CABBA1,X1892_A
#CFC5B4,X7747_A
#F75DE4,X7695_A
#EAFCF8,X1392377_A
#99B3DA,X1392376_A
#2EE87C,A1bx
#90ADCB,X7581_A
#D03FF7,A3
#E58FD8,A1eb
#1FF22E,A1fh
#F3B3E0,A1er
#BC8589,A4a
#F8E2B8,X73683_A
#A9D392,X759668_A
#F3E2FA,B1
#E7E691,B5aj
#AF5D45,X1390196_B
#F983DA,X29481_B
#75F07A,C1
#5CA1AC,C42.2
#EFF070,C1b
#A9F0D4,C3.1
#CDBF31,C1d.1
#F4F3E0,C1au
#AEDF14,C42a
#307C9D,C42g.1
#CECADA,C1j
#C2648D,C3cg
#B0F3E1,C1az
#A16D8F,C45c
#AF17E5,C115k
#D74E9C,C115n
#53C5A1,C42h
#F4BAC7,C41p
#B1F8F1,X196_C
#6276D9,C42az
#E2E2F4,C45.3
#7F69C6,C42ao
#268FF4,X7_C
#B7AFF9,C3cw
#8FF9D8,C116
#F1FDCE,C115d
#5BF3E9,C3eq
#CB7D0C,X93_C
#E3C6C5,X21709_C
#3AD57F,X213_C
#517DB4,X139_C
#E1F999,X566_C
#D6A1E3,C115l
#EB70C0,X114_C
#EB9B93,C42b
#C6C8AA,X526576_C
#B6ED46,X348_C
#DEE7D7,C15
#5A71FC,C42l
#E7B0CB,X99_C
#F43DBF,C42ap
#7146F0,X344_C
#FCF98B,C3.12
#A42DD7,X227_C
#ED9DB2,C1at
#5BB6F0,C42ay
#F290F0,C1ag
#5FA9D6,C1h
#74C166,C1c
#7DEBF5,C1k
#6365E3,C1ci
#77C8F3,X187_C
#3D6479,C42j
#DB8FE2,X1936_C
#47B3F8,C1m
#F6E3A9,X1392356_C
#93CBEE,X307_C
#AC93E7,X312_C
#CEF06E,C1ah
#B0EEBF,X98_C
#408257,X33741_C
#9D79BC,X278_C
#D7D8C7,X201_C
#7F6539,C3dc
#8AF0D2,X317_C
#BB72FC,X356_C
#E411C3,X285_C
#F2765E,X287_C
#A4DEB8,X224_C
#7BE5D1,C116i
#C6A0F0,X761_C
#E0F8B3,X657_C
#309A7C,C15i
#3365E9,X33112_C
#99E0E1,X381_C
#E8BF38,X197_C
#F5C22F,X656_C
#CA926A,X268_C
#C8E9F6,C116l
#E9947E,X695_C
#F985C7,X192_C
#81F6D0,X11_C
#A3D0D0,X26971_C
#F5CE26,X92729_C
#CDF59D,C42k
#E1D6DD,X8128_C
#FAF2B1,X33398_C
#8BFCE5,X349_C
#F6E75F,X33135_C
#4CEE24,X359_C
#A3B9AA,X985_C
#D2BC62,C116q
#E7DA98,X8_C
#E0B15C,X2790_C
#8D8B71,X33434_C
#83D8DE,X91390_C
#C2D6B9,X324_C
#E2B285,X1392365_C
#A74062,X360_C
#749CF3,X110_C
#B66F69,X234_C
#7579A9,X91056_C
#BCD78B,X351_C
#FEBE4C,X1112172_C
#F8A5DB,X47161_C
#E4E9EC,X200_C
#D540D3,C93b
#DCD8B7,X230_C
#949D3C,X279_C
#F4AD8D,X138_C
#B9D071,X128_C
#9DBA8B,X376_C
#BDF8B5,X21844_C
#13BC97,X101_C
#D48843,C1bi
#6C6881,X21885_C
#B6D0C8,X27542_C
#46C1CE,C15eo
#AA8235,X119_C
#D085C2,X751_C
#A0E1A8,X13928_C
#BCDD77,X2694_C
#CF9540,X205_C
#BA1C89,C1bp
#DBFB77,X391641_C
#CEE8C3,X366_C
#DDA1F2,X102_C
#D7E1C6,X202_C
#C2DF85,X132_C
#86AFA2,X1208585_C
#6814C0,X203_C
#D4F88C,X375_C
#FBE5CA,X21719_C
#C08197,X355_C
#41FB15,X323_C
#1BFCC2,X235_C
#EDB99A,X653_C
#F0758A,C44
#F7A961,X16816_C
#99EDF8,X22186_C
#75F2D8,X17_C
#5D78C1,X512_C
#CAD4EA,X1392370_C
#7EAFD9,X198_C
#E3D4EA,X5429_C
#84F126,X62530_C
#98F772,X33346_C
#F0AAC4,C42i
#A9FDAF,C3cx
#97ACBC,X316_C
#43DC5B,X87_C
#FEC25D,X1392402_C
#D6CCA5,X33522_C
#6DF4F6,X269_C
#D8D2CF,X70133_C
#8A7670,X639_C
#AAEA69,X6124_C
#36F0DD,X284_C
#ABF9CC,X315_C
#FCEA97,X33657_C
#3990EA,X193_C
#8DEBB1,X273_C
#788F9F,X572_C
#79E4E1,X1392403_C
#486713,X92006_C
#34D6D5,X6125_C
#2B7362,X94456_C
#F849B6,X33327_C
#34CC89,X91839_C
#A87972,X7844_C
#B19DAD,X32893_C
#FA58FC,X33249_C
#3C7AD5,X7305_C
#B47EC5,X33703_C
#B6F17E,X3246_C
#ACB390,X2193_C
#9A94FC,X377_C
#7E5553,X33738_C
#E5268C,X90988_C
#C6F564,X204_C
#EF76EE,X662_C
#F45FF6,X33388_C
#9A31C0,X90755_C
#844EE0,X62136_C
#63EDFB,X228_C
#6A8F73,X1392369_C
#32EFCE,C1dj
#933ED1,X280_C
#EDF496,X33322_C
#AC8DC8,X47215_C
#D4CAFB,X6145_C
#B78266,X1392398_C
#AAD9FB,X33134_C
#86CCD0,X567_C
#F4E4E2,X33339_C
#95D3AB,X327_C
#8A6AF4,X95383_C
#8BA078,X792_C
#D152BB,X121_C
#E5C4E0,X43307_C
#AABFD7,X33646_C
#6B86DF,X206_C
#C186C4,X13271_C
#D5D87A,X126_C
#D86E4C,X374_C
#A082FB,X372_C
#B3CB5B,X1392397_C
#E1B8F3,X68465_C
#AF2244,X346_C
#F8CFD6,X309_C
#B4CEFE,X2092_C
#E669FB,X649_C
#DA79BC,X68551_C
#7D46B2,X33338_C
#4544A8,X33809_C
#F6E2D3,X90904_C
#D88DA5,X10117_C
#B3B4B4,X380_C
#6AE2C8,X22_C
#8064D7,X911543_C
#C9AB8F,X286_C
#5AAA35,X694_C
#BADEE9,X191_C
#4B2DE0,C15ev
#9391A0,X33062_C
#D4DB95,X222_C
#CD7D6F,X1274976_C
#E3ED99,X281_C
#B766A8,X516_C
#86CFDC,X32968_C
#F01572,X33400_C
#E5E17D,X68427_C
#D9E6F5,X28316_C
#EEF869,X2504_C
#8EB69D,C42p
#2FD7F1,X582058_C
#F0EDF8,X511_C
#A389D2,X33319_C
#A213F6,X357_C
#4DC7B2,X89_C
#A2B4F9,X21705_C
#E1FA6E,X199_C
#A96B7F,C42al
#DE39A9,X23144_C
#35265A,X92079_C
#FC8389,X22172_C
#96E457,X271_C
#E4C9D4,X3390_C
#96794A,X33743_C
