UCI_links,Clad_clades
Haplotype_10-22A53_C1.C42.2.C1d.C1b.C3.C3cg.C115n.C1au,22A53-C_pacif_V
Haplotype_10-31D11_C1d.C1.C42.2.C3cg.C1b.C45c.C115k.C3.C1au,31D11-C_pacif_IV
Haplotype_10-A37_C1d.C1.C42.2.C3.C1b.C3cg.C115k.C45c.C1au.C41p,A37-C_pacif_V
Haplotype_10-C32_C1.C42.2.C3cg.C1b.C115k.C45c,C32-C_pacif_IV
Haplotype_10-D50_C1.C42.2.C1d.C1b.C3.C3cg.C115n.C1au,D50-C_pacif_IV
Haplotype_10-D56_C1d.C1.C42.2.C1b.C3cg.C3,D56-C_pacif_IV
Haplotype_10-D58_C1.C42.2.C1d.C1b.C3.C3cg.C115n.C1au,D58-C_pacif_IV
Haplotype_10-D62_C1d.C1.C42.2.C1b.C3cg.C3,D62-C_pacif_V
Haplotype_10-D76_C1.C3.C42.2.C1b.C3cg,D76-C_pacif_V
Haplotype_10-D77_C1.C42.2.C1b.C1au.C3.C3cg.C1j,D77-C_pacif_V
Haplotype_10-D79_C1d.C1.C42.2.C1k.C1b.C3cg.C3cw,D79-C_pacif_V
Haplotype_10-J03_C1d.C1.C42.2.C3.C1b.C3cg.C115k.C45c.C1au.C41p,J03-C_pacif_V
Haplotype_11-21D26_C1.C42.2.C3.C1b.C1au.C115n,21D26-C_lat_III
Haplotype_11-51B08_C1.C42.2.C1b.C1au.C3.C3cg.C1j,51B08-C_lat_III
Haplotype_11-BR20_C1.C42.2.C42g.C42a.C1b.C1au.C1az.C3.C115k.C115d.C41p,BR20-C_lat_I
Haplotype_11-F04_C1.C42.2.C1b.C1au.C3.C3cg.C1j,F04-C_lat_III
Haplotype_11-F30_C1.C42.2.C1b.C1au.C3.C3cg.C1j,F30-C_lat_III
Haplotype_11-F39_C1.C42.2.C1b.C3cg.C3.C1au.C41p,F39-C_lat_III
Haplotype_11-G03_C42.2.C1.C42i.C3.C1b.C1au,G03-C_lat_III
Haplotype_11-G31_C1.C42.2.C1b.C3cg.C3.C1au.C41p,G31-C_lat_III
Haplotype_11-G43_C1.C42.2.C1b.C1au.C3.C3cg.C1j,G43-C_lat_III
Haplotype_11-G49_C42.2.C1.C42i.C3.C1b.C1au,G49-C_lat_III
Haplotype_11-J17_C42.2.C116.C1.C1b,J17-C_lat_III
Haplotype_2-33D37_C1.C42.2.C1b.C3cg.C3.C1au.C41p,33D37-C_lat_III
Haplotype_2-43D12_C1.C42.2.C1b.C3cg.C3.C1au.C41p,43D12-C_lat_III
Haplotype_2-61A58_C1.C42.2.C1b.C3cg.C3.C1au.C41p,61A58-C_lat_III
Haplotype_8a-23B44_C1.C42.2.C42g.C42a.C1b.C1au.C1az.C3.C115k.C115d.C41p,23B44-C_lat_I
Haplotype_8a-BR9_C1.C42.2.C42g.C42a.C1b.C1au.C1az.C3.C115k.C115d.C41p,BR9-C_lat_I
P_eydouxi-14A50_C42a.C42.2.C1b.C1.C42ao.C1au,14A50-C_lat_II
P_eydouxi-15C64_C42.2.C42a.C1b.C1.C1j,15C64-C_lat_II
P_eydouxi-21B46_C42a.C1.C42.2.C1j.C1b.C1au.C3.C115l.C115k,21B46-C_lat_I
P_eydouxi-21C14_C1.C42.2.C42g.C42a.C1b.C3.C1az.C1au.C42az,21C14-C_lat_I
P_eydouxi-43D20_C42a.C42.2.C1.C1b.C3.C1j.C1au,43D20-C_lat_II
P_eydouxi-51D20_C42g.C1.C42.2.C42a.C1b.C42h.C3.C1au,51D20-C_lat_I
P_eydouxi-A52_C1.C42.2.C42a.C1b.C1az.C1au.C115d.C3.C1j,A52-C_lat_I
P_eydouxi-C12_C1.C42.2.C42g.C42a.C1b.C1au.C1az.C3.C115k.C115d.C41p,C12-C_lat_I
P_eydouxi-C40_C42.2.C42a.C1b.C1.C1j,C40-C_lat_II
P_eydouxi-C63_C42a.C42.2.C1b.C1.C42ao.C1au,C63-C_lat_II
P_eydouxi-D54_C42a.C42.2.C1.C1b.C3.C1j.C1au,D54-C_lat_II
P_eydouxi-D74_C42.2.C42a.C1.C1j.C1b.C1ci.C1au,D74-C_lat_II
P_eydouxi-D82_C42a.C42.2.C1.C1b.C3.C1j.C1au,D82-C_lat_II
P_eydouxi-E20_C42a.C42.2.C1b.C1.C42ao.C1au,E20-C_lat_II
P_eydouxi-G01_C42a.C42.2.C1.C3.C1b.C1au,G01-C_lat_III
P_eydouxi-G10_C42a.C42.2.C1b.C1.C42ao.C1au,G10-C_lat_II
P_eydouxi-H15_C1.C42.2.C42g.C42a.C1b.C3.C1az.C1au.C42az,H15-C_lat_I
P_eydouxi-J35_C42a.C1.C42.2.C1j.C1b.C1au.C3.C115l.C115k,J35-C_lat_II
P_meandrina-21D36_C42g.C1.C42.2.C42a.C1b.C42h.C3.C1au,21D36-C_lat_I
P_meandrina-22B16_C1.C42.2.C42g.C42a.C1b.C3.C1az.C1au.C42az,22B16-C_lat_I
P_meandrina-A38_C1.C42.2.C42a.C1b.C1az.C1au.C115d.C3.C1j,A38-C_lat_I
P_meandrina-BR10_C1.C42.2.C42g.C42a.C1b.C1au.C1az.C3.C115k.C115d.C41p,BR10-C_lat_I
P_meandrina-C41_C1.C42.2.C42g.C42a.C1b.C3.C1az.C1au.C42az,C41-C_lat_I
